lakeID,lakeName,lat,long,DOC (mg/L),WBIC,mean_Depth(m),max_Depth(m),surface_Area(ha),trophic_Status,LMB,SMB,Musk,Pike,Walleye,Trout
BA,Bay,46.24418,-89.49733,7.4,NA,1.31,12.2,67.33,,1,1,0,0,0,0
BH,Birch,46.21767,-89.83838,10.9,2311100,NA,13.7,204.76,Mesotrophic,1,1,1,1,1,0
CR,Crampton,46.20965,-89.47368,5,2759000,1.52,18.5,25.9,Mesotrophic,1,1,0,0,0,0
FD,Found,45.950512,-89.453197,6.21,1593800,3.35,6.4,135.97,Eutrophic,1,0,1,1,1,0
HB,Hummingbird,46.24368,-89.50587,24.5,NA,1.12,7.62,0.75,,1,0,0,0,0,0
LC,Little_Crooked,46.15085,-89.69511,4.07,2335500,NA,9.1,62,Mesotrophic,1,0,1,1,1,0
LT,Lost,45.96554,-89.48312,4.02,1593400,NA,6.1,218.13,Eutrophic,1,0,1,1,1,0
MC,McCullough,46.19831,-89.57043,14.3,2960400,NA,8.2,89.43,Mesotrophic,1,0,1,1,1,0
MS,Muskellunge,45.95180,-89.37989,6.66,1596600,2.743,5.8,109.3,Eutrophic,1,0,1,1,1,0
OB,Oxbow,46.19967,-89.49964,11.12,2954800,4.57,13.41,212,Mesotrophic,1,1,1,1,1,0
PS,Papoose,46.18476,-89.80266,6.49,2328700,NA,19.81,171,Oligotrophic,1,1,1,1,1,0
RS,Red_Bass,46.19825,-89.66405,18.9,2954700,NA,6.7,10.9,,1,0,0,0,0,1
SQ,Squaw,45.88447,-89.99458,23.85,2271600,NA,6.4,298,Eutrophic,1,1,1,1,1,0
TO,Towanda,45.93854,-89.70771,5.29,1022900,3.05,8.2,56.3,Mesotrophic,1,0,1,1,1,0
