"","baseWidth"
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BA AN 07-13 001",19.1607757415698
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BA AN 07-13 002",22.7748391929669
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BA AN 07-13 003",17.5570398406446
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BA AN 07-13 005",18.2549770442087
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BA AN 07-13 006",18.0280823964873
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BA AN 07-13 007",20.9826934488708
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BA AN 07-13 008",13.4780123157522
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BA AN 07-13 011",19.6525323110407
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BA AN 07-13 012",17.0167931615092
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BA AN 07-13 014",19.5782354480276
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BA AN 07-13 015",15.997420673515
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BA FN4 07-15 002",12.2379284988093
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BA FN4 07-15 003",17.95246051866
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BA FN5 07-26 001",13.8882487556339
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BA FN5 07-26 002",12.0934792783928
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BA FN5 07-26 008",12.6905106421777
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BA FN8 07-16 001",18.0023358368537
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\BA FN8 07-16 002",12.8796552315349
