imageID	lakeID	lakeDOC	DOClevel	fishStdLength
BA AN 001.jpg	Bay	7.4	intermediate	
BA AN 002.jpg	Bay	7.4	intermediate	
BA AN 005.jpg	Bay	7.4	intermediate	
BA AN 006.jpg	Bay	7.4	intermediate	
BA AN 007.jpg	Bay	7.4	intermediate	
BA AN 008.jpg	Bay	7.4	intermediate	
BA AN 011.jpg	Bay	7.4	intermediate	
BA AN 012.jpg	Bay	7.4	intermediate	
BA AN 014.jpg	Bay	7.4	intermediate	
BA AN 015.jpg	Bay	7.4	intermediate	
BA FN5 001.jpg	Bay	7.4	intermediate	
BA FN8 001.jpg	Bay	7.4	intermediate	
BA FN8 003.jpg	Bay	7.4	intermediate	
BA FN8 004.jpg	Bay	7.4	intermediate	
BH FN1 001.jpg	Bay	10.9	intermediate	
BH FN3 003.jpg	Bay	10.9	intermediate	
BH shock 003.jpg	Bay	10.9	intermediate	
BH shock 007.jpg	Bay	10.9	intermediate	
FD shock 005.jpg	Found	6.21	intermediate	
FD shock 007.jpg	Found	6.21	intermediate	
FD shock 009.jpg	Found	6.21	intermediate	
FD shock 011.jpg	Found	6.21	intermediate	
FD shock 012.jpg	Found	6.21	intermediate	
FD shock 014.jpg	Found	6.21	intermediate	
FD shock 015.jpg	Found	6.21	intermediate	
FD shock 019.jpg	Found	6.21	intermediate	
FD shock 022.jpg	Found	6.21	intermediate	
HB AN 001.jpg	Hummingbird	24.5	high	
HB AN 002 (2).jpg	Hummingbird	24.5	high	
HB AN 003.jpg	Hummingbird	24.5	high	
HB AN 004 (2).jpg	Hummingbird	24.5	high	
HB AN 004.jpg	Hummingbird	24.5	high	
HB AN 006.jpg	Hummingbird	24.5	high	
HB AN 008 (2).jpg	Hummingbird	24.5	high	
HB AN 008.jpg	Hummingbird	24.5	high	
HB AN 009.jpg	Hummingbird	24.5	high	
HB AN 010.jpg	Hummingbird	24.5	high	
HB AN 011.jpg	Hummingbird	24.5	high	
HB AN 013.jpg	Hummingbird	24.5	high	
HB AN 015.jpg	Hummingbird	24.5	high	
Lost 10.jpg	Lost	4.02	low	
Lost 11.jpg	Lost	4.02	low	
Lost 12.jpg	Lost	4.02	low	
Lost 25.jpg	Lost	4.02	low	
Lost 8.jpg	Lost	4.02	low	
LT FN 001.jpg	Lost	4.02	low	
LT FN 007.jpg	Lost	4.02	low	
LT FN 008.jpg	Lost	4.02	low	
LT FN 009.jpg	Lost	4.02	low	
LT FN 011.jpg	Lost	4.02	low	
LT FN 013.jpg	Lost	4.02	low	
LT FN 015.jpg	Lost	4.02	low	
LT Shock 014.jpg	Lost	4.02	low	
MC 38.jpg	McCullough	14.3	high	
MC 40.jpg	McCullough	14.3	high	
MC 43.jpg	McCullough	14.3	high	
MC 44.jpg	McCullough	14.3	high	
MC 46.jpg	McCullough	14.3	high	
MC 47.jpg	McCullough	14.3	high	
MC 58.jpg	McCullough	14.3	high	
MC FN7 005.jpg	McCullough	14.3	high	
MC FN7 011.jpg	McCullough	14.3	high	
MC FN7 014.jpg	McCullough	14.3	high	
MC FN8 002.jpg	McCullough	14.3	high	
MC FN8 003.jpg	McCullough	14.3	high	
MC FN8 007.jpg	McCullough	14.3	high	
MK 83.jpg	Muskellunge	6.655	intermediate	
MK 85.jpg	Muskellunge	6.655	intermediate	
MK 89.jpg	Muskellunge	6.655	intermediate	
MK 95.jpg	Muskellunge	6.655	intermediate	
MK 96.jpg	Muskellunge	6.655	intermediate	
MK shock 006.jpg	Muskellunge	6.655	intermediate	
MK shock 009.jpg	Muskellunge	6.655	intermediate	
OB 102.jpg	Oxbow	11.12	high	
