lakeID,finL_coef,finW_coef,finR_coef,finL_SE,finW_SE,finR_SE,DOC,fitted_L,fitted_W,fitted_A,fitted_R,max_Depth(m),surface_Area(ha),LMB,SMB,Musk,Pike,Walleye,Trout,basin
BA,3.485171,2.68609,0.7877182,0,0.02750209,0.02307401,7.4,3.50716,2.750739,2.06,0.7468035,12.2,67.33,1,1,0,0,0,0,4
BH,3.485171,2.678438,0.8120481,0,0.03137792,0.02739931,10.9,3.511418,2.755596,2.033,0.7632187,13.7,204.76,1,1,1,1,1,0,7
CR,3.485171,2.607613,0.8460141,0,0.03405134,0.03072998,5,3.502851,2.659592,2.069,0.8131142,18.5,25.9,1,1,0,0,0,0,4
FD,3.485171,2.670104,0.8230848,0,0.02924914,0.02495985,6.21,3.505233,2.729089,2.032,0.7857545,6.4,135.97,1,0,1,1,1,0,7
HB,3.485171,2.660753,0.8209957,0,0.02538409,0.02090649,24.5,3.520322,2.764069,2.041,0.7556115,7.62,0.75,1,0,0,0,0,0,4
LC,3.485171,2.624679,0.9104211,0,0.03137792,0.02739931,4.07,3.500588,2.670004,2.072,0.8817376,9.1,62,1,0,1,1,1,0,7
LT,3.485171,2.699692,0.780903,0,0.0283353,0.02396145,4.02,3.500452,2.744633,2.06,0.7524599,6.1,218.13,1,0,1,1,1,0,7
MC,3.485171,2.660001,0.8145544,0,0.02878135,0.02444537,14.3,3.514403,2.745926,2.08,0.7601756,8.2,89.43,1,0,1,1,1,0,4
MS,3.485171,2.695901,0.7795809,0,0.03137792,0.02739931,6.66,3.506002,2.757137,2.036,0.7408284,5.8,109.3,1,0,1,1,1,0,7
OB,3.485171,2.676516,0.8003065,0,0.02750209,0.02307401,11.12,3.511638,2.754318,2.05,0.7510679,13.41,212,1,1,1,1,1,0,4
PS,3.485171,2.668348,0.8048743,0,0.03025751,0.02609445,6.49,3.505718,2.728745,2.04,0.7666522,19.81,171,1,1,1,1,1,0,7
RS,3.485171,2.700653,0.8185105,0,0.03080244,0.02672301,18.9,3.517469,2.795589,2.06,0.7584319,6.7,10.9,1,0,0,0,0,1,4
SQ,3.485171,2.629343,0.8441503,0,0.03025751,0.02609445,23.85,3.520026,2.731788,2.04,0.7793138,6.4,298,1,1,1,1,1,0,7
TO,3.485171,2.688268,0.7836406,0,0.02924914,0.02495985,5.29,3.50347,2.742085,2.047,0.7495783,8.2,56.3,1,0,1,1,1,0,7
