fishID,lakeID,fishStdLength,DOC,DOClevel,captureMethod, X13, Y13, X14, Y14,basin,X,Y,hyp_dist,opp_dist,sinAngle,ang_deg,fitted
BA AN 001 07-13.jpg,BA,156.57184,7.4,low,Angling,59.8306,45.1354,56.9441,53.9525,4,-2.8865,8.8171,9.277560814,2.8865,0.316378697,18.12716405,3.154663
BA AN 002 07-13.jpg,BA,152.8512571,7.4,low,Angling,63.7144,44.5581,61.615,54.9497,4,-2.0994,10.3916,10.60154852,2.0994,0.199345337,11.42164646,3.154663
BA AN 003 07-13.jpg,BA,118.4717093,7.4,low,Angling,68.3853,53.3752,66.4435,61.0902,4,-1.9418,7.715,7.955615139,1.9418,0.246570038,14.12742252,3.154663
BA AN 004 07-13.jpg,BA,120.0864485,7.4,low,Angling,78.672,57.5739,75.2606,65.2364,4,-3.4114,7.6625,8.387583455,3.4114,0.418861071,23.99897157,3.154663
BA AN 005 07-13.jpg,BA,138.6521994,7.4,low,Angling,65.9186,52.0107,65.3413,60.6703,4,-0.5773,8.6596,8.678821778,0.5773,0.066567397,3.81403092,3.154663
BA AN 006 07-13.jpg,BA,143.9636338,7.4,low,Angling,68.3853,49.1241,66.7059,59.0959,4,-1.6794,9.9718,10.11222921,1.6794,0.166849207,9.559755362,3.154663
BA AN 007 07-13.jpg,BA,153.8495259,7.4,low,Angling,69.33,46.395,67.4931,56.3143,4,-1.8369,9.9193,10.08794895,1.8369,0.183110095,10.49143564,3.154663
BA AN 008 07-13.jpg,BA,125.5837917,7.4,low,Angling,78.3046,54.3724,74.7883,62.3498,4,-3.5163,7.9774,8.717985802,3.5163,0.415162442,23.78705574,3.154663
BA AN 009 07-13.jpg,BA,164.1993374,7.4,low,Angling,64.5016,51.3284,61.825,59.9356,4,-2.6766,8.6072,9.013771652,2.6766,0.301492397,17.27424192,3.154663
BA AN 010 07-13.jpg,BA,148.3724485,7.4,low,Angling,70.7996,50.1737,66.9683,59.6732,4,-3.8313,9.4995,10.24301518,3.8313,0.383361694,21.9650071,3.154663
BA AN 011 07-13.jpg,BA,164.5867633,7.4,low,Angling,69.0151,42.1438,62.1924,50.0688,4,-6.8227,7.925,10.45728743,6.8227,0.710793029,40.72544069,3.154663
BA AN 012 07-13.jpg,BA,145.7596159,7.4,low,Angling,66.7584,52.8504,59.6732,59.6732,4,-7.0852,6.8228,9.836191279,7.0852,0.804262765,46.08086203,3.154663
BA AN 013 07-13.jpg,BA,127.9049582,7.4,low,Angling,76.7826,53.3752,74.5783,61.8775,4,-2.2043,8.5023,8.783395914,2.2043,0.253674096,14.53445508,3.154663
BA AN 014 07-13.jpg,BA,138.1369409,7.4,low,Angling,75.2606,43.351,73.1613,51.3809,4,-2.0993,8.0299,8.299780389,2.0993,0.255712085,14.65122325,3.154663
BA AN 015 07-13.jpg,BA,146.2637841,7.4,low,Angling,72.1255,52.5926,68.0518,61.3667,4,-4.0737,8.7741,9.673668513,4.0737,0.43467122,24.90482637,3.154663
BA FN4 001.jpg,BA,95.11941081,7.4,low,Fyke_Net,80.1415,57.1015,78.4096,62.8222,4,-1.7319,5.7207,5.977113526,1.7319,0.293971103,16.84330353,3.154663
BA FN4 002.jpg,BA,115.5857501,7.4,low,Fyke_Net,83.8678,63.5569,80.9288,70.5896,4,-2.939,7.0327,7.622111931,2.939,0.395845744,22.68029046,3.154663
BA FN4 003.jpg,BA,122.5793694,7.4,low,Fyke_Net,72.7414,57.9937,68.7527,64.869,4,-3.9887,6.8753,7.94855193,3.9887,0.525695452,30.1201307,3.154663
BA FN5 001 07-26.jpg,BA,83.29367918,7.4,low,Fyke_Net,75.4181,59.0959,71.9017,64.3966,4,-3.5164,5.3007,6.361013241,3.5164,0.5857266,33.55966214,3.154663
BA FN5 002 07-26.jpg,BA,97.61840822,7.4,low,Fyke_Net,80.4564,59.9881,75.1032,65.8137,4,-5.3532,5.8256,7.911660104,5.3532,0.743164731,42.58020254,3.154663
BA FN5 003 07-26.jpg,BA,106.1559981,7.4,low,Fyke_Net,75.8904,59.7781,70.6946,65.6038,4,-5.1958,5.8257,7.806094935,5.1958,0.728308337,41.72899391,3.154663
BA FN5 004 07-26.jpg,BA,64.33606672,7.4,low,Fyke_Net,84.7076,64.974,81.821,68.8052,4,-2.8866,3.8312,4.796931623,2.8866,0.645702518,36.99602909,3.154663
BA FN5 005 07-26.jpg,BA,90.66890534,7.4,low,Fyke_Net,79.4068,62.7172,74.9457,67.1782,4,-4.4611,4.461,6.308877413,4.4611,0.785409372,45.00064218,3.154663
BA FN5 006 07-26.jpg,BA,76.95205221,7.4,low,Fyke_Net,85.2324,59.2533,82.1884,63.8718,4,-3.044,4.6185,5.531408342,3.044,0.582737779,33.3884153,3.154663
BA FN5 007 07-26.jpg,BA,77.40347569,7.4,low,Fyke_Net,75.8336,62.6202,73.0656,66.8506,4,-2.768,4.2304,5.05550276,2.768,0.579400288,33.19719113,3.154663
BA FN5 008 07-26.jpg,BA,88.59634073,7.4,low,Fyke_Net,77.5699,52.483,74.211,56.7866,4,-3.3589,4.3036,5.459229082,3.3589,0.662728451,37.97154322,3.154663
