1,218,10,0,
, X1, Y1, X2, Y2, X3, Y3, X4, Y4, X5, Y5
BA AN 07-13 001.jpg,23.29590,61.27540 ,41.84020,79.06080 ,54.11510,85.52820 ,35.47180,54.80800 ,26.03460,53.58710 
BA AN 07-13 002.jpg,49.36350,36.79170 ,70.31660,54.54400 ,79.58880,60.02150 ,68.20480,34.77880 ,53.68610,31.21520 
BA AN 07-13 003.jpg,54.74200,44.01800 ,62.66130,48.07660 ,86.15520,50.38640 ,71.07550,37.81460 ,55.83090,38.67250 
BA AN 07-13 005.jpg,36.89060,73.61630 ,57.54680,60.05450 ,66.85190,51.57430 ,38.54050,59.72460 ,32.60100,68.00680 
BA AN 07-13 006.jpg,29.07040,70.81160 ,52.92720,68.79870 ,68.53480,65.92800 ,40.94930,57.67880 ,29.46630,63.12330 
BA AN 07-13 007.jpg,28.67440,70.08560 ,56.02890,69.09570 ,71.50450,67.47890 ,41.04830,55.07200 ,27.05750,62.23230 
BA AN 07-13 008.jpg,31.90810,72.23040 ,53.98310,64.24520 ,66.65390,57.54680 ,29.86230,64.08020 ,25.73770,68.66680 
BA AN 07-13 011.jpg,25.53970,71.40550 ,40.38830,72.13140 ,68.56780,69.65670 ,25.96860,62.00140 ,20.65610,64.54210 
BA AN 07-13 012.jpg,31.71010,71.47150 ,55.33600,68.17180 ,70.18460,64.14620 ,34.48190,60.64850 ,28.34440,64.24520 
BA AN 07-13 014.jpg,28.37740,69.88760 ,52.79520,68.50180 ,65.69700,64.50910 ,41.74120,55.92990 ,27.75050,62.10040 
BA AN 07-13 015.jpg,28.34440,70.21760 ,41.41120,69.02970 ,68.13880,61.27540 ,31.64410,59.09760 ,25.80370,63.38720 
BA FN4 07-15 002.jpg,36.23070,71.24050 ,56.58990,64.34420 ,64.34420,59.59260 ,39.10140,59.88960 ,30.98420,67.11590 
BA FN4 07-15 003.jpg,31.67710,67.24790 ,40.48730,67.44590 ,65.07010,67.80880 ,36.23070,59.82360 ,29.76330,61.70440 
BA FN5 07-26 001.jpg,61.01150,51.11240 ,67.70980,44.87590 ,75.10120,30.88520 ,60.31850,41.44420 ,56.35890,48.34060 
BA FN5 07-26 002.jpg,32.20510,68.83170 ,48.17560,65.07010 ,55.43500,62.26530 ,36.65970,61.07740 ,30.02730,63.84920 
BA FN5 07-26 008.jpg,34.84480,63.38720 ,46.78970,71.76850 ,55.36900,72.06540 ,42.79710,60.02150 ,36.49470,58.93260 
BA FN8 07-16 001.jpg,28.47640,74.37520 ,51.87130,66.62090 ,66.35700,59.19660 ,28.64140,63.78320 ,23.52690,68.73280 
BA FN8 07-16 002.jpg,36.03270,72.03250 ,53.81810,59.46060 ,61.93540,51.04640 ,38.14450,59.85660 ,32.07310,67.74280 
BA FN8 07-16 003.jpg,30.29120,68.69980 ,54.61000,70.11860 ,67.34690,68.40280 ,37.48460,55.63290 ,28.31140,61.34140 
BA FN8 07-16 004.jpg,32.63400,70.87760 ,53.71910,69.55770 ,65.89500,66.19200 ,39.95940,58.76770 ,30.48920,65.00410 
BH FN 06-06 001.jpg,36.39570,68.13880 ,48.73660,68.93070 ,73.71530,62.49630 ,39.86040,59.79060 ,33.03000,62.03440 
BH FN1 06-28 001.jpg,29.26830,68.36980 ,40.15730,69.09570 ,61.50640,68.73280 ,41.31220,61.20940 ,30.32420,62.99130 
BH FN1 06-28 004.jpg,33.16200,66.25800 ,42.26920,66.58790 ,58.20670,65.33410 ,38.73850,60.78050 ,32.37010,61.24240 
BH FN3  06-28 008.jpg,30.72020,66.12600 ,39.53040,67.67680 ,61.53940,70.01960 ,37.41860,59.42760 ,28.67440,61.70440 
BH FN3 06-28 002.jpg,31.28120,72.46140 ,42.00520,68.69980 ,65.03710,55.30300 ,37.74860,60.35150 ,27.18950,67.51190 
BH FN3 06-28 003.jpg,31.14920,68.93070 ,41.31220,68.83170 ,65.16910,66.62090 ,35.30680,61.47340 ,29.43330,63.61820 
BH FN3 06-28 004.jpg,31.97410,63.38720 ,42.99510,65.96100 ,61.30840,67.24790 ,38.47450,58.30570 ,31.94110,58.30570 
BH FN4 06-28 002.jpg,28.27840,66.29100 ,42.63210,67.41290 ,61.11040,65.96100 ,40.35530,58.99860 ,29.16930,60.61550 
BH FN4 06-28 003.jpg,29.16930,66.85190 ,42.73110,67.41290 ,66.35700,69.06270 ,37.68260,58.43770 ,30.32420,60.12050 
BH FN4 06-28 004.jpg,32.63400,68.17180 ,43.91900,68.20480 ,63.38720,65.40010 ,40.42130,58.73470 ,32.76600,62.33130 
BH shock 06-06 003.jpg,21.25010,67.64390 ,48.07660,70.08560 ,62.72730,64.31120 ,35.70280,55.92990 ,23.46090,60.12050 
BH shock 06-06 007.jpg,26.69460,65.66400 ,41.01530,68.40280 ,66.22500,66.45600 ,36.19770,55.79790 ,27.84950,57.21680 
CR FN1 07-15 002.jpg,29.69730,67.61090 ,40.78430,66.55490 ,63.55220,63.18930 ,34.67980,60.64850 ,30.45620,61.27540 
CR FN1 07-15 008.jpg,32.53500,67.74280 ,40.98230,68.69980 ,60.02150,68.83170 ,40.12440,59.92260 ,32.33710,63.02430 
CR FN1 07-15 009.jpg,31.97410,71.50450 ,41.84020,68.86470 ,58.83370,63.15630 ,38.01250,62.36430 ,31.24820,65.89500 
CR FN1 07-15 011.jpg,37.18760,64.77310 ,51.40930,65.82900 ,55.17100,65.79600 ,40.48730,61.07740 ,36.49470,60.84650 
CR FN7 07-15 004.jpg,39.00250,67.11590 ,49.13250,67.31390 ,67.94080,67.70980 ,46.03080,61.44040 ,36.39570,62.03440 
CR FN9 07-15 002.jpg,29.69730,67.90780 ,41.27920,66.65390 ,66.85190,63.61820 ,33.42600,60.12050 ,29.63130,61.17640 
CR FN9 07-15 003.jpg,32.73300,67.24790 ,53.38910,67.37990 ,64.50910,66.55490 ,36.06570,59.95550 ,32.00710,61.70440 
CR FN9 07-15 004.jpg,37.15460,65.07010 ,44.21600,64.93810 ,56.82080,64.44310 ,40.09140,60.87950 ,36.46170,61.53940 
FD shock 07-31 003.jpg,31.54510,72.46140 ,42.79710,70.21760 ,62.16630,60.64850 ,39.29940,61.27540 ,29.03740,67.51190 
FD shock 07-31 005.jpg,29.69730,70.28360 ,40.68530,68.36980 ,59.79060,63.45320 ,31.57810,63.42020 ,28.04740,65.59800 
FD shock 07-31 007.jpg,32.60100,67.61090 ,39.20040,66.52200 ,62.16630,64.11320 ,41.47720,57.61280 ,30.48920,60.97850 
FD shock 07-31 008.jpg,37.45160,68.69980 ,51.93730,62.03440 ,57.77770,56.72180 ,39.13440,60.91250 ,34.51490,65.66400 
FD shock 07-31 009.jpg,35.37280,62.26530 ,43.06110,68.56780 ,54.57700,73.02240 ,42.23620,59.29560 ,36.23070,59.32860 
