"","fishID","X13","X14","Y13","Y14","fishStdLength","lakeID","captureMethod","basin","DOC","DOClevel","X","Y","hyp_dist","opp_dist","sinAngle","ang_deg"
"1","BA AN 001 07-13.jpg",59.8306,56.9441,45.1354,53.9525,156.572298526272,"BA","Angling",4,7.4,"low",-2.8865,8.8171,9.27756081413644,2.8865,0.31112703627895,18.1271640539978
"2","BA AN 002 07-13.jpg",63.7144,61.615,44.5581,54.9497,152.851361344935,"BA","Angling",4,7.4,"low",-2.0994,10.3916,10.6015485151934,2.0994,0.198027674635576,11.4216464578231
"3","BA AN 003 07-13.jpg",68.3853,66.4435,53.3752,61.0902,118.472150846433,"BA","Angling",4,7.4,"low",-1.9418,7.715,7.95561513900717,1.9418,0.244079177545827,14.127422524132
"4","BA AN 004 07-13.jpg",78.672,75.2606,57.5739,65.2364,120.08622474289,"BA","Angling",4,7.4,"low",-3.4114,7.6625,8.3875834547264,3.4114,0.406720245278475,23.9989715664195
"5","BA AN 005 07-13.jpg",65.9186,65.3413,52.0107,60.6703,138.652594745609,"BA","Angling",4,7.4,"low",-0.577299999999994,8.6596,8.67882177775301,0.577299999999994,0.0665182457692385,3.81403091982061
"6","BA AN 006 07-13.jpg",68.3853,66.7059,49.1241,59.0959,143.963665305173,"BA","Angling",4,7.4,"low",-1.6794,9.9718,10.1122292102187,1.6794,0.166076140590536,9.5597553615527
"7","BA AN 007 07-13.jpg",69.33,67.4931,46.395,56.3143,153.849120203984,"BA","Angling",4,7.4,"low",-1.8369,9.9193,10.0879489540739,1.8369,0.182088550245706,10.491435644374
"8","BA AN 008 07-13.jpg",78.3046,74.7883,54.3724,62.3498,125.58363871321,"BA","Angling",4,7.4,"low",-3.51629999999999,7.9774,8.71798580235136,3.51629999999999,0.403338578396353,23.7870557392963
"9","BA AN 009 07-13.jpg",64.5016,61.825,51.3284,59.9356,164.198882914501,"BA","Angling",4,7.4,"low",-2.67659999999999,8.6072,9.0137716523107,2.67659999999999,0.296945618687139,17.2742419239717
"10","BA AN 010 07-13.jpg",70.7996,66.9683,50.1737,59.6732,148.372707517859,"BA","Angling",4,7.4,"low",-3.8313,9.4995,10.2430151781592,3.8313,0.37404025410109,21.965007100376
