"fishID","pecFinInsertionAngle","stdLength","lakeID","DOC","basin"
"BA AN 001 07-13.jpg",71.8728359460022,156.572298526272,"Bay",7.4,4
"BA AN 002 07-13.jpg",78.5783535421769,152.851361344935,"Bay",7.4,4
"BA AN 003 07-13.jpg",75.872577475868,118.472150846433,"Bay",7.4,4
"BA AN 004 07-13.jpg",66.0010284335805,120.08622474289,"Bay",7.4,4
"BA AN 005 07-13.jpg",86.1859690801795,138.652594745609,"Bay",7.4,4
"BA AN 006 07-13.jpg",80.4402446384473,143.963665305173,"Bay",7.4,4
"BA AN 007 07-13.jpg",79.5085643556259,153.849120203984,"Bay",7.4,4
"BA AN 008 07-13.jpg",66.2129442607037,125.58363871321,"Bay",7.4,4
"BA AN 009 07-13.jpg",72.7257580760284,164.198882914501,"Bay",7.4,4
"BA AN 010 07-13.jpg",68.034992899624,148.372707517859,"Bay",7.4,4
"BA AN 011 07-13.jpg",49.2745593054774,164.586375359384,"Bay",7.4,4
"BA AN 012 07-13.jpg",43.9191379742683,145.759557957103,"Bay",7.4,4
"BA AN 013 07-13.jpg",75.4655449194599,127.904687359299,"Bay",7.4,4
"BA AN 014 07-13.jpg",75.3487767505374,138.137085051227,"Bay",7.4,4
"BA AN 015 07-13.jpg",65.0949829903627,146.263545934043,"Bay",7.4,4
"BA FN4 001.jpg",73.1566964727061,95.1196107593487,"Bay",7.4,4
"BA FN4 002.jpg",67.3197095413566,115.585767400013,"Bay",7.4,4
"BA FN4 003.jpg",59.8798692981944,122.578964530298,"Bay",7.4,4
"BA FN5 001 07-26.jpg",56.4403378617136,83.2941403596316,"Bay",7.4,4
"BA FN5 002 07-26.jpg",47.4197974567005,97.6188122133229,"Bay",7.4,4
"BA FN5 003 07-26.jpg",48.2710060855993,106.155685737694,"Bay",7.4,4
"BA FN5 004 07-26.jpg",53.0039709085053,64.3362542350734,"Bay",7.4,4
"BA FN5 005 07-26.jpg",44.9993578218188,90.6686635133661,"Bay",7.4,4
"BA FN5 006 07-26.jpg",56.6115847047549,76.9524699694558,"Bay",7.4,4
"BA FN5 007 07-26.jpg",56.802282743812,77.4030527724844,"Bay",7.4,4
"BA FN5 008 07-26.jpg",52.0284567770701,88.596736773879,"Bay",7.4,4
"BA FN8 001 07-16.jpg",56.8677648382659,137.685830708937,"Bay",7.4,4
"BA FN8 002 07-16.jpg",71.4308273569156,115.729081480542,"Bay",7.4,4
"BA FN8 003 07-16.jpg",53.5115173654209,147.291923514665,"Bay",7.4,4
"BA FN8 004 07-16.jpg",56.9291286868499,117.772272756282,"Bay",7.4,4
"BH Electro 003 06-06.jpg",77.9647113815549,141.387006339656,"Birch",10.9,7
"BH Electro 004 06-06.jpg",73.4189901321008,122.637091422661,"Birch",10.9,7
"BH Electro 005 06-06.jpg",74.6234791570363,134.43930527171,"Birch",10.9,7
"BH Electro 006 06-06.jpg",81.4418965177618,149.068198594133,"Birch",10.9,7
"BH Electro 007 06-06.jpg",80.7602540070227,144.712898486382,"Birch",10.9,7
"BH Electro 008 06-06.jpg",82.101848782155,117.834229828857,"Birch",10.9,7
"BH FN 001 06-06.jpg",77.9696284178777,134.986820547971,"Birch",10.9,7
"BH FN 002 06-06.jpg",74.7030445867238,90.9007693580753,"Birch",10.9,7
"BH FN1 001 06-28.jpg",81.9272472866979,103.000296823067,"Birch",10.9,7
"BH FN1 002 06-28.jpg",69.8088319813952,112.955830015985,"Birch",10.9,7
"BH FN1 003 06-28.jpg",76.5874467678832,99.2378174941388,"Birch",10.9,7
"BH FN1 004 06-28.jpg",57.4959380741083,93.2384198275582,"Birch",10.9,7
"BH FN3 001 06-28.jpg",59.2496967861467,71.8676190619948,"Birch",10.9,7
"BH FN3 002 06-28.jpg",68.6181841374543,131.5666054168,"Birch",10.9,7
"BH FN3 003 06-28.jpg",74.8667237014421,117.739526908723,"Birch",10.9,7
"BH FN3 004 06-28.jpg",52.431768717617,107.027643894136,"Birch",10.9,7
"BH FN3 005 06-28.jpg",62.2818547363106,95.7699037736282,"Birch",10.9,7
"BH FN3 006 06-28.jpg",65.4105311154428,90.5717889895634,"Birch",10.9,7
"BH FN3 007 06-28.jpg",69.0264669185268,97.1067292787683,"Birch",10.9,7
"BH FN3 008 06-28.jpg",61.9517628455305,102.294684879763,"Birch",10.9,7
"BH FN3 009 06-28.jpg",88.3944734104758,96.6223124023121,"Birch",10.9,7
"BH FN3 010 06-28.jpg",78.6894676895125,81.7092100970876,"Birch",10.9,7
"BH FN3 011 06-28.jpg",63.1129624432846,60.7953918915735,"Birch",10.9,7
"BH FN3 012 06-28.jpg",61.6206564296311,77.6057439815507,"Birch",10.9,7
"BH FN3 013 06-28.jpg",76.4092010167777,68.9239079595027,"Birch",10.9,7
"BH FN4 001 06-28.jpg",72.3771812208466,69.0175051697756,"Birch",10.9,7
"BH FN4 002 06-28.jpg",80.6557027859418,113.998995207502,"Birch",10.9,7
"BH FN4 003 06-28.jpg",76.7595874654741,122.497429400988,"Birch",10.9,7
"BH FN4 004 06-28.jpg",80.3479848612259,110.995680783083,"Birch",10.9,7
"CR FN1 001.jpg",59.2996074540201,64.9736583635245,"Crampton",5,4
"CR FN1 002.jpg",57.8389150637225,124.827730333047,"Crampton",5,4
"CR FN1 003.jpg",47.9770821047896,108.588121537349,"Crampton",5,4
"CR FN1 004.jpg",62.3866069824897,64.9022072346542,"Crampton",5,4
"CR FN1 005.jpg",71.7542049262565,83.2392399274525,"Crampton",5,4
"CR FN1 006.jpg",69.3698156674603,77.1095262859266,"Crampton",5,4
"CR FN1 007.jpg",73.7056192731178,61.568964804437,"Crampton",5,4
"CR FN1 008.jpg",66.9748932739392,102.729921772481,"Crampton",5,4
"CR FN1 009.jpg",64.5162226647606,107.226411933488,"Crampton",5,4
"CR FN1 010.jpg",62.6758693449164,56.3885861306169,"Crampton",5,4
"CR FN1 011.jpg",64.5641543628677,79.4777496058488,"Crampton",5,4
"CR FN1 012.jpg",53.3930113293605,66.3941059255263,"Crampton",5,4
"CR FN1 013.jpg",54.2457676336928,75.4055271929717,"Crampton",5,4
"CR FN1 014.jpg",56.1053392192014,62.4236588614445,"Crampton",5,4
"CR FN1 015.jpg",70.5601331234676,64.5879257673599,"Crampton",5,4
"CR FN7 001.jpg",66.0801656999046,111.920484901469,"Crampton",5,4
"CR FN7 002.jpg",51.4827118330202,101.884494593535,"Crampton",5,4
"CR FN7 003.jpg",71.7915837485682,62.4763151802345,"Crampton",5,4
"CR FN7 004.jpg",39.4004320124946,117.199394681372,"Crampton",5,4
"CR FN9 001.jpg",50.35587788436,104.248723114099,"Crampton",5,4
"CR FN9 002.jpg",59.6095209365241,134.625515138142,"Crampton",5,4
"CR FN9 003.jpg",51.4009718396918,119.5567,"Crampton",5,4
"CR FN9 004.jpg",57.9948621211315,80.6129055435295,"Crampton",5,4
"CR FN9 005.jpg",80.8115090287378,61.7396415449588,"Crampton",5,4
"CR FN9 006.jpg",65.5554220912323,68.9114885196946,"Crampton",5,4
"CR FN9 007.jpg",69.4443286419766,64.6708259515061,"Crampton",5,4
"CR FN9 008.jpg",75.9637565320735,65.1208522607774,"Crampton",5,4
"CR FN9 009.jpg",63.1526131670823,69.5409129796985,"Crampton",5,4
"CR FN9 010.jpg",47.2676019270301,119.996875415654,"Crampton",5,4
"CR FN9 011.jpg",70.7344605854654,88.3045924579803,"Crampton",5,4
"FD Electro 001.jpg",62.5709693818257,72.2010369278032,"Found",6.21,7
"FD Electro 002.jpg",57.8286506059955,102.920826975156,"Found",6.21,7
"FD Electro 003.jpg",70.2442579609186,115.461007454118,"Found",6.21,7
"FD Electro 004.jpg",73.0205044576368,106.006614571167,"Found",6.21,7
"FD Electro 005.jpg",68.1982893563436,117.113827405008,"Found",6.21,7
"FD Electro 006.jpg",76.8277277020072,73.8528463842119,"Found",6.21,7
"FD Electro 007.jpg",76.8038025823253,110.850488179935,"Found",6.21,7
"FD Electro 008.jpg",80.2930354132244,117.905832390514,"Found",6.21,7
"FD Electro 009.jpg",73.7570273130498,96.1554843961071,"Found",6.21,7
"FD Electro 010.jpg",84.726078421901,99.7368107595185,"Found",6.21,7
"FD Electro 011.jpg",75.7789938900152,105.026995089072,"Found",6.21,7
"FD Electro 012.jpg",77.005996519116,69.8789473636373,"Found",6.21,7
