fishID,lakeID,basin,DOCbin,lakeDOC,fishSL,capture_Method,total_RakerNum,length_Raker1,length_Raker2,length_Raker3,length_Raker4,length_Raker5,length_Raker6,length_Raker7,length_Raker8,length_Raker9,space1,space2,space3,space4,space5,space6,space7,space8,avgRakerLength,avgRakerSpace,SS.Length,SS.Space,SS.Count,lakeSlope,avgrakerlengthSS_bylake,avgrakerspaceSS_bylake,rakercountSS_bylake,avgL_4-7,avgS_4-6,avgL2_ss,avgS2_ss,fitted_L,fitted_S,fitted_C
BA AN 001 07-13.jpg,Bay,4,low,7.4,156.57184,Angle,10,16.75,27.77,22.2,25.15,18.89,17.56,22.7,19.48,19.31,7.23,7.59,8.82,10.23,10.47,9.71,8.97,9.51,21.09,9.06625,18.3411757,6.957285988,10.16661851,0.60263,17.08008885,7.342466061,8.232225254,21.075,10.13666667,18.16886411,12.49180738,2.86364,2.110257,10.95308
BA AN 002 07-13.jpg,Bay,4,low,7.4,152.8512571,Angle,10,7.94,12.56,18.92,21.82,21.23,19.76,17.69,17.42,14.41,6.5,7.71,8.9,10.16,12.52,12.02,12.35,12.66,16.86111111,10.3525,14.80487756,8.090209508,10.15507959,0.60263,13.85459994,8.506555702,8.3429243,20.125,11.56666667,17.52768704,14.05085925,2.86364,2.110257,10.95308
BA AN 003 07-13.jpg,Bay,4,low,7.4,118.4717093,Angle,10,8.12,12.87,16.17,22.78,22.61,19.22,17.56,13.6,13.86,5.66,5.13,5.51,6.92,8.61,9.38,8.23,8.51,16.31,7.24375,15.85368847,6.864335936,10.03363348,0.60263,15.62591285,6.939938175,9.611182885,20.5425,8.303333333,19.93239411,8.663362421,2.86364,2.110257,10.95308
BA AN 004 07-13.jpg,Bay,4,low,7.4,120.0864485,Angle,11,10.65,14.4,17.18,19.43,19.91,17.59,16.11,15.56,12.57,6.71,5.89,8.93,9.83,9.11,9.19,9.42,8.76,15.93333333,8.48,15.40411629,7.9539461,11.04405449,0.60263,15.14101563,8.058327801,10.49310645,18.26,9.376666667,17.61627577,9.862623566,2.86364,2.110257,10.95308
BA AN 005 07-13.jpg,Bay,4,low,7.4,138.6521994,Angle,11,12.29,16.22,23.68,26.49,25.51,10.05,16.93,16.42,15.68,7.15,6.2,8.45,6.48,8.91,10.41,11.04,9.89,18.14111111,8.56625,16.56073516,7.206779165,11.1192787,0.60263,15.80841738,7.464762024,9.687869911,19.745,8.6,17.92251588,9.85631989,2.86364,2.110257,10.95308
BA AN 006 07-13.jpg,Bay,4,low,7.4,143.9636338,Angle,9,14,19.25,13.76,22.22,19.29,16.03,17.04,14.13,11.08,4.91,8.36,8.12,7.77,8.83,9.83,9.1,9.44,16.31111111,8.295,14.66844938,6.782888221,9.113755123,0.60263,13.89535021,7.066478677,7.762658455,18.645,8.81,16.65643229,10.32616099,2.86364,2.110257,10.95308
BA AN 007 07-13.jpg,Bay,4,low,7.4,153.8495259,Angle,10,12.11,16.59,22.95,26.61,22.78,20.79,17.63,15.16,13.42,6.15,8.13,10.55,9.02,12.62,10.94,11.26,7.05,18.67111111,9.465,16.35161269,7.360310601,10.15820164,0.60263,15.28179041,7.746854612,8.312814262,21.9525,10.86,19.06663252,13.2437903,2.86364,2.110257,10.95308
BA AN 008 07-13.jpg,Bay,4,low,7.4,125.5837917,Angle,11,12.37,14.14,19.52,24.56,18.94,16.96,19.56,19.18,18.32,7.02,5.13,7.84,8.3,9.77,9.08,9.12,9.19,18.17222222,8.18125,17.25760891,7.418200314,11.06742221,0.60263,16.80898636,7.567524944,10.23545459,20.005,9.05,18.93692662,9.776828446,2.86364,2.110257,10.95308
BA AN 009 07-13.jpg,Bay,4,low,7.4,164.1993374,Angle,9,14.18,23.11,23.67,24.54,22.44,23.58,20.37,20.41,18.03,7.26,9.23,10.05,10.48,12.83,14.07,11.65,11.26,21.14777778,10.85375,18.04561344,8.034566153,9.170531261,0.60263,16.64291163,8.541715348,7.215829064,22.7325,12.46,19.20651233,15.79722594,2.86364,2.110257,10.95308
BA AN 010 07-13.jpg,Bay,4,low,7.4,148.3724485,Angle,10,15.48,23.26,23.87,25.47,21.94,18.55,17.74,17.42,13.73,7.19,9.26,8.41,9.63,10.58,11.21,10.93,9.89,19.71777778,9.6375,17.51986508,7.702840664,10.14082877,0.60263,16.49488099,8.062251119,8.481874461,20.925,10.47333333,18.45569763,12.49881632,2.86364,2.110257,10.95308
