imageID,parameter,parameterValue,parameterUnit,processedBy,replicate,imageFile,comments,metadataID,updateID
BA AN 001 07-13.jpg,X1,16.2172,,CB,,,,,
BA AN 002 07-13.jpg,X1,18.8414,,CB,,,,,
BA AN 003 07-13.jpg,X1,34.9537,,CB,,,,,
BA AN 004 07-13.jpg,X1,41.2516,,CB,,,,,
BA AN 005 07-13.jpg,X1,26.294,,CB,,,,,
BA AN 006 07-13.jpg,X1,28.9181,,CB,,,,,
BA AN 007 07-13.jpg,X1,23.9847,,CB,,,,,
BA AN 008 07-13.jpg,X1,39.2573,,CB,,,,,
BA AN 009 07-13.jpg,X1,18.2116,,CB,,,,,
BA AN 010 07-13.jpg,X1,25.3493,,CB,,,,,
BA AN 011 07-13.jpg,X1,19.5237,,CB,,,,,
BA AN 012 07-13.jpg,X1,22.5677,,CB,,,,,
BA AN 013 07-13.jpg,X1,37.9452,,CB,,,,,
BA AN 014 07-13.jpg,X1,32.0146,,CB,,,,,
BA AN 015 07-13.jpg,X1,27.3436,,CB,,,,,
BA FN4 001.jpg,X1,52.4305,,CB,,,,,
BA FN4 002.jpg,X1,46.7099,,CB,,,,,
BA FN4 003.jpg,X1,35.0586,,CB,,,,,
BA FN5 001 07-26.jpg,X1,47.8645,,CB,,,,,
BA FN5 002 07-26.jpg,X1,47.1297,,CB,,,,,
BA FN5 003 07-26.jpg,X1,43.141,,CB,,,,,
BA FN5 004 07-26.jpg,X1,61.615,,CB,,,,,
BA FN5 005 07-26.jpg,X1,49.1241,,CB,,,,,
BA FN5 006 07-26.jpg,X1,58.8334,,CB,,,,,
BA FN5 007 07-26.jpg,X1,51.2759,,CB,,,,,
BA FN5 008 07-26.jpg,X1,48.4943,,CB,,,,,
BA FN8 001 07-16.jpg,X1,29.7579,,CB,,,,,
BA FN8 002 07-16.jpg,X1,32.9068,,CB,,,,,
BA FN8 003 07-16.jpg,X1,20.2584,,CB,,,,,
BA FN8 004 07-16.jpg,X1,37.7353,,CB,,,,,
BH Electro 003 06-06.jpg,X1,27.7635,,CB,,,,,
BH Electro 004 06-06.jpg,X1,34.1664,,CB,,,,,
BH Electro 005 06-06.jpg,X1,41.1467,,CB,,,,,
BH Electro 006 06-06.jpg,X1,19.7861,,CB,,,,,
BH Electro 007 06-06.jpg,X1,22.4627,,CB,,,,,
BH Electro 008 06-06.jpg,X1,36.7906,,CB,,,,,
BH FN 001 06-06.jpg,X1,31.7522,,CB,,,,,
BH FN 002 06-06.jpg,X1,63.137,,CB,,,,,
BH FN1 001 06-28.jpg,X1,47.707,,CB,,,,,
BH FN1 002 06-28.jpg,X1,42.9836,,CB,,,,,
BH FN1 003 06-28.jpg,X1,52.7454,,CB,,,,,
BH FN1 004 06-28.jpg,X1,54.1625,,CB,,,,,
BH FN3 001 06-28.jpg,X1,71.5868,,CB,,,,,
BH FN3 002 06-28.jpg,X1,37.2629,,CB,,,,,
BH FN3 003 06-28.jpg,X1,46.4475,,CB,,,,,
BH FN3 004 06-28.jpg,X1,51.5908,,CB,,,,,
BH FN3 005 06-28.jpg,X1,53.9525,,CB,,,,,
BH FN3 006 06-28.jpg,X1,52.6404,,CB,,,,,
BH FN3 007 06-28.jpg,X1,43.4559,,CB,,,,,
BH FN3 008 06-28.jpg,X1,48.6517,,CB,,,,,
BH FN3 009 06-28.jpg,X1,55.3696,,CB,,,,,
BH FN3 010 06-28.jpg,X1,61.1952,,CB,,,,,
BH FN3 011 06-28.jpg,X1,66.391,,CB,,,,,
BH FN3 012 06-28.jpg,X1,62.6122,,CB,,,,,
BH FN3 013 06-28.jpg,X1,64.3966,,CB,,,,,
BH FN4 001 06-28.jpg,X1,66.6009,,CB,,,,,
BH FN4 002 06-28.jpg,X1,48.2844,,CB,,,,,
BH FN4 003 06-28.jpg,X1,49.0191,,CB,,,,,
BH FN4 004 06-28.jpg,X1,49.3865,,CB,,,,,
