PecFinLengths	fishStdLength	Ratio	rangeDOC	lakeDOC	lakeID
39.21761123	158.8182549	0.246933901	5.0-10.0	7.4	Bay
38.1207759	153.4727033	0.248387987	5.0-10.0	7.4	Bay
32.05218248	120.8254323	0.265276787	5.0-10.0	7.4	Bay
37.19580147	140.6415123	0.264472423	5.0-10.0	7.4	Bay
39.76542385	146.0291524	0.272311543	5.0-10.0	7.4	Bay
42.90936021	155.9910458	0.27507579	5.0-10.0	7.4	Bay
37.72112783	127.3856055	0.296117663	5.0-10.0	7.4	Bay
43.06361343	166.9481724	0.257946001	5.0-10.0	7.4	Bay
39.16564595	147.8509024	0.264899607	5.0-10.0	7.4	Bay
37.70519125	140.1188611	0.269094331	5.0-10.0	7.4	Bay
40.78670797	148.3734517	0.274892223	5.0-10.0	7.4	Bay
30.43090967	117.244117	0.259551698	5.0-10.0	7.4	Bay
33.3976752	124.3380773	0.268603761	5.0-10.0	7.4	Bay
24.65072461	84.48873549	0.291763446	5.0-10.0	7.4	Bay
24.14011899	99.01898862	0.243792825	5.0-10.0	7.4	Bay
22.28343382	89.867477	0.247958823	5.0-10.0	7.4	Bay
40.80841859	139.6616098	0.292194961	5.0-10.0	7.4	Bay
33.33711258	117.2519365	0.284320358	5.0-10.0	7.4	Bay
37.05682099	149.4543979	0.247947344	5.0-10.0	7.4	Bay
33.58939011	119.4621652	0.281171784	5.0-10.0	7.4	Bay
37.74375082	136.9240269	0.275654695	10.0-15.0	10.9	Birch
32.24011225	104.4777353	0.308583567	10.0-15.0	10.9	Birch
25.06175913	94.57598275	0.264990734	10.0-15.0	10.9	Birch
31.06418266	103.6027272	0.29983943	10.0-15.0	10.9	Birch
37.86654118	133.4540728	0.283742117	10.0-15.0	10.9	Birch
34.09822872	119.4291849	0.285510018	10.0-15.0	10.9	Birch
29.58728956	108.5629284	0.272535846	10.0-15.0	10.9	Birch
32.8336731	115.7234563	0.283725306	10.0-15.0	10.9	Birch
37.25327689	124.1472765	0.300073251	10.0-15.0	10.9	Birch
30.87785846	112.4844431	0.274507813	10.0-15.0	10.9	Birch
41.61090476	140.5547633	0.296047632	10.0-15.0	10.9	Birch
39.53833771	151.2067722	0.261485231	10.0-15.0	10.9	Birch
34.86327856	126.6190925	0.275339823	5.0-10.0	5	Crampton
27.50806141	104.2034697	0.263984121	5.0-10.0	5	Crampton
29.13506173	108.7649133	0.267871879	5.0-10.0	5	Crampton
18.01243336	80.6178325	0.223429889	5.0-10.0	5	Crampton
28.94446359	118.8811732	0.243473906	5.0-10.0	5	Crampton
37.40142631	136.5573549	0.27388804	5.0-10.0	5	Crampton
31.78366549	121.271608	0.262086617	5.0-10.0	5	Crampton
19.67620268	81.76952555	0.240630021	5.0-10.0	5	Crampton
32.82078747	117.1170947	0.280239085	5.0-10.0	6.21	Found
30.85868784	118.794628	0.259765011	5.0-10.0	6.21	Found
29.77148725	112.4412879	0.264773624	5.0-10.0	6.21	Found
23.592855	119.5972185	0.197269262	5.0-10.0	6.21	Found
22.01174446	97.53464306	0.225681294	5.0-10.0	6.21	Found
35.37624667	106.5335496	0.332066723	5.0-10.0	6.21	Found
37.69160231	71.55364	0.526760096	5.0-10.0	6.21	Found
24.27188983	105.5486236	0.229959321	5.0-10.0	6.21	Found
30.83625704	103.5451285	0.297805	5.0-10.0	6.21	Found
29.40395608	69.26463927	0.424516122	5.0-10.0	6.21	Found
32.0424487	75.39309686	0.425005074	5.0-10.0	6.21	Found
33.74154214	78.20776085	0.431434704	5.0-10.0	6.21	Found
22.40408825	84.07218505	0.266486332	5.0-10.0	6.21	Found
21.85637192	84.54019275	0.258532317	5.0-10.0	6.21	Found
23.06480859	80.15561567	0.287750377	5.0-10.0	6.21	Found
25.15306574	56.917351	0.441922635	5.0-10.0	6.21	Found
