lakeID,lakeName,lat,long,WBIC,mean_Depth(m),max_Depth(m),surface_Area(ha)
BA,Bay,46.244176000,-89.497329000,NA,1.31,12.2,67.33
BH,Birch,46.217667500,-89.838382400,2311100,NA,13.7,204.76
CR,Crampton,46.209653300,-89.473677200,2759000,1.52,18.5,25.9
FD,Found,45.950511900,-89.453196600,1593800,3.35,6.4,135.97
HB,Hummingbird,46.243596000,-89.505707000,NA,1.12,7.62,0.75
LC,Little_Crooked,46.150850000,-89.695110000,2335500,NA,9.1,62
LT,Lost,45.965540600,-89.483115800,1593400,NA,6.1,218.13
MC,McCullough,46.198314300,-89.570426100,2960400,NA,8.2,89.43
MS,Muskellunge,45.951802100,-89.379886500,1596600,2.743,5.8,109.3
OB,Oxbow,46.199670000,-89.499640000,2954800,4.57,13.41,212
PS,Papoose,46.184760000,-89.802660000,2328700,NA,19.81,171
RS,Red_Bass,46.198251700,-89.664053400,2954700,NA,6.7,10.9
SQ,Squaw,45.884470000,-89.994580000,2271600,NA,6.4,298
TO,Towanda,45.938540000,-89.707710000,1022900,3.05,8.2,56.3
